,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
0,Baksa,26.6935,91.5984,234,687,6,447
1,Barpeta,26.34142215,91.01674328474073,89,1121,8,1024
2,Biswanath,26.7773957,93.25694367444689,85,467,3,379
3,Bongaigaon,26.4800126,90.5580387,464,1303,5,834
4,Cachar,24.758639950000003,92.88166475768219,4683,6216,35,1498
5,Charaideo,27.06971635,95.06426298389661,-2,113,10,105
6,Chirang,26.6464231,90.62415698729875,54,280,7,219
7,Darrang,26.75,92.5,219,1967,18,1730
8,Dhemaji,27.466831499999998,94.51786508708852,317,765,8,440
9,Dhubri,26.01894625,89.94188952461522,497,1723,11,1215
10,Dibrugarh,27.4844597,94.9019447,6989,9486,88,2409
11,Dima Hasao,25.400362549999997,93.07522922678905,37,237,1,199
12,Goalpara,26.1783623,90.6226683,38,658,6,568
13,Golaghat,26.40490095,94.03209112120626,2108,3803,39,1656
14,Hailakandi,24.68845365,92.57381528240944,509,1632,7,1116
15,Hojai,26.009390850000003,92.84879014262606,473,1646,13,1160
16,Jorhat,26.7577925,94.2079645,6971,8771,48,1752
17,Kamrup,26.12755515,91.2998714797357,2489,4590,27,2074
18,Kamrup Metropolitan,26.13526375,91.86167062524619,32151,46878,128,14599
19,Karbi Anglong,26.0,93.5,70,632,10,552
20,Karimganj,24.8483482,92.33221292310328,219,1200,26,955
21,Kokrajhar,26.58687695,90.29293105124796,44,408,11,353
22,Lakhimpur,27.985060150000002,80.75384538357649,1849,3006,22,1135
23,Majuli,27.021952849999998,94.32742302965544,79,165,6,80
24,Morigaon,26.2578325,92.3419427,73,638,8,557
25,Nagaon,26.30414915,92.71605974430346,1989,4515,20,2506
26,Nalbari,26.42386165,91.4512275462117,106,948,14,828
27,Sivasagar,26.9834936,94.6394226,28,529,28,473
28,Sonitpur,26.767770749999997,92.70140885850532,807,2548,14,1727
29,South Salmara Mankachar,25.7604472,89.8928061082699,3,51,1,47
30,Tinsukia,27.52016575,95.5306347312879,1536,3366,32,1798
31,Udalguri,26.776480300000003,92.10537533897156,86,758,6,666
32,West Karbi Anglong,25.85291415,92.58756812404593,1,39,1,37
33,Araria,26.26498795,87.37162648106798,294,6319,17,6008
34,Arwal,25.180777149999997,84.65920203021554,56,2032,9,1967
35,Aurangabad,19.877263,75.3390241,219,4305,11,4075
36,Banka,24.8655681,86.87278642295597,110,2986,12,2864
37,Begusarai,25.5127194,86.09057109140021,69,6772,29,6674
38,Bhagalpur,25.28669805,87.13225355111148,304,8345,66,7975
39,Bhojpur,25.25,84.25,191,4580,36,4353
40,Buxar,25.562071500000002,84.01567204651289,33,3657,14,3610
41,Darbhanga,26.08314325,86.03257096612822,157,3500,29,3314
42,East Champaran,26.6460551,84.9135447,280,7610,42,7288
43,Gaya,24.7964355,85.0079563,325,6549,48,6176
44,Gopalganj,26.4207265,84.37406407415165,150,5073,7,4916
45,Jamui,24.967852049999998,86.17351147289283,138,2798,7,2653
46,Jehanabad,25.15247135,85.00687848982191,213,3601,12,3376
47,Kaimur,24.974864349999997,83.57643904700731,54,1790,9,1727
48,Katihar,25.560900349999997,87.64765353997149,171,6457,11,6275
49,Khagaria,25.4916868,86.69910848212217,64,2865,11,2790
50,Kishanganj,26.29863795,87.95314810923409,221,3674,10,3443
51,Lakhisarai,25.167702900000002,86.05935924304018,97,3214,8,3109
52,Madhepura,25.9259562,86.82042961035677,243,4211,10,3958
53,Madhubani,26.350071999999997,86.22914688962271,216,6863,22,6625
54,Munger,25.22081165,86.51720367235285,247,3559,40,3272
55,Muzaffarpur,26.1486581,85.34001282479626,572,9641,38,9031
56,Nalanda,25.1364914,85.44365464855682,331,6948,48,6569
57,Nawada,24.818123999999997,85.5185562336921,254,3370,17,3099
58,Patna,25.6093239,85.1235252,2472,34680,259,31949
59,Purnia,25.7773601,87.4731227,331,7887,13,7543
60,Rohtas,24.93928775,84.01945448852067,152,6134,37,5945
61,Saharsa,25.83264165,86.61489283342814,349,5738,8,5381
62,Samastipur,25.7744929,85.86626813370123,227,4594,33,4334
63,Saran,25.90835495,84.78074760594323,192,6058,38,5828
64,Sheikhpura,25.12635425,85.81510620944194,141,2759,7,2611
65,Sheohar,26.49436945,85.27280559513999,35,1208,1,1172
66,Sitamarhi,26.5876547,85.5056744,96,3771,12,3663
67,Siwan,26.1310043,84.39125660595198,204,4108,20,3884
68,Supaul,23.7337,69.8597,135,4876,14,4727
69,Vaishali,25.95322565,85.14457760191539,128,4735,36,4570
70,West Champaran,26.6919717,84.5796928,168,5438,17,5253
71,Chandigarh,30.7194022,76.7646552,633,14085,222,13230
72,Balod,20.73218365,81.14335738365043,687,4224,15,3522
73,Baloda Bazar,21.572645950000002,82.43670691696435,346,4935,77,4512
74,Balrampur,27.4504805,82.39541774073132,497,2015,6,1512
76,Bastar,19.11912825,81.82918648971713,91,6135,22,6022
77,Bijapur,18.769041350000002,80.74151192966231,89,3273,6,3178
78,Bilaspur,28.8680526,79.29838501460121,96,11252,89,11067
80,Dhamtari,20.537276650000003,81.70915145737666,246,4386,54,4086
81,Durg,21.19903535,81.3979545573657,1287,15540,380,13873
82,Gariaband,20.42857015,82.24698984817437,53,2325,25,2247
83,Janjgir Champa,21.967126399999998,82.6647242496104,1458,10134,84,8592
84,Jashpur,22.76678355,83.95304518953317,430,1818,10,1378
86,Kondagaon,19.70436465,81.74655021128783,689,2964,12,2263
87,Korba,22.51976955,82.62951462416818,1660,7928,37,6231
88,Koriya,23.431414349999997,82.31393341197054,391,2733,22,2320
89,Mahasamund,21.1882332,82.48484762499999,311,4095,65,3719
90,Mungeli,22.24451625,81.65401093817499,362,2616,12,2242
91,Narayanpur,26.96392335,93.82558573585581,204,1758,1,1553
92,Raigarh,22.5,83.5,1922,12176,130,10124
93,Raipur,21.2379469,81.6336833,7358,40528,543,32627
94,Rajnandgaon,20.9727404,80.69155548263583,979,11345,82,10284
95,Sukma,18.26654225,81.29252341475065,537,3050,5,2508
96,Surajpur,23.35151515,82.97290272665015,389,3166,19,2758
97,Surguja,22.94941835,83.1655491457949,539,4217,40,3638
98,Uttar Bastar Kanker,20.1270026,80.98109349472911,440,4124,33,3651
99,Gaurela Pendra Marwahi,23.0043821,82.0572281,119,567,2,446
100,Central Delhi,28.69854835,77.21939141568413,184,184,0,0
101,East Delhi,28.6204767,77.30918071344418,38,38,0,0
102,New Delhi,28.6138954,77.2090057,37,37,0,0
103,North Delhi,28.6138954,77.2090057,60,60,0,0
104,North East Delhi,28.72330795,77.26685650778668,25,25,0,0
105,North West Delhi,28.6138954,77.2090057,31,32,1,0
106,Shahdara,28.6733333,77.2890248,48,48,0,0
107,South Delhi,28.485169399999997,77.19637972381611,70,70,0,0
108,South East Delhi,28.5444411,77.27287301731174,130,130,0,0
109,South West Delhi,28.58644805,76.97915298462692,42,42,0,0
110,West Delhi,28.6479519,77.08556541088615,122,122,0,0
111,Dadra and Nagar Haveli,20.2733604,73.0044988,25,1570,1,1539
112,Daman,20.42000485,72.86376290300566,23,1344,1,1299
113,Diu,20.7137783,70.9853635,3,312,0,309
114,North Goa,15.60444125,74.00172406307475,1639,2668,65,964
115,South Goa,15.21961365,74.1152813019196,1978,3511,126,1407
116,Ahmedabad,23.0216238,72.5797068,3625,41628,1892,36111
117,Amreli,20.866667,70.75,441,2728,25,2262
118,Anand,22.5584995,72.9625629,65,1388,16,1307
119,Aravalli,16.6299629,81.6057455,72,715,24,619
120,Banaskantha,24.172056,72.431134,-17,2626,29,2614
121,Bharuch,21.75,73.0,187,2824,16,2621
122,Bhavnagar,21.7718836,72.1416449,95,4694,67,4532
123,Botad,22.1686,71.6685,110,832,5,717
124,Chhota Udaipur,22.3048651,74.0126114,96,624,3,525
125,Dahod,22.8358542,74.2556782,275,1899,6,1618
126,Dang,20.8254,73.7007,4,120,0,116
127,Devbhumi Dwarka,22.2471009,68.9742446,104,739,5,630
128,Gandhinagar,23.2232877,72.6492267,826,4727,90,3811
129,Gir Somnath,20.8907001,70.4025266,166,1752,23,1563
130,Jamnagar,22.4732415,70.0552102,355,8131,35,7741
